order_id,item_id,product_id,quantity,list_price,discount,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,cust_first_name,cust_last_name,city,state,zip_code,product_name,brand_id,model_year,staffs_first_name,staffs_last_name,staffs_phone,staffs_active,manager_id,brand_name,revenue 
1,1,20,1,599.99,0.2,259,4,01-01-2016,03-01-2016,03-01-2016,1,2,Johnathan,Velazquez,Pleasanton,CA,94566,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Mireya,Copeland,(831) 555-5555,1,1,Electra,479.99
185,1,20,1,599.99,0.1,24,3,20-04-2016,20-04-2016,,1,2,Corene,Wall,Atwater,CA,95301,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Mireya,Copeland,(831) 555-5555,1,1,Electra,539.99
444,3,20,2,599.99,0.05,30,4,19-09-2016,20-09-2016,21-09-2016,1,2,Jamaal,Albert,Torrance,CA,90505,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Mireya,Copeland,(831) 555-5555,1,1,Electra,1139.98
2,1,20,1,599.99,0.07,1212,4,01-01-2016,04-01-2016,03-01-2016,2,6,Jaqueline,Cummings,Huntington Station,NY,11746,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Marcelene,Boyer,(516) 379-4445,1,5,Electra,557.99
6,3,20,1,599.99,0.1,94,4,04-01-2016,07-01-2016,05-01-2016,2,6,Sharyn,Hopkins,Baldwinsville,NY,13027,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Marcelene,Boyer,(516) 379-4445,1,5,Electra,539.99
13,3,20,2,599.99,0.1,873,4,08-01-2016,11-01-2016,11-01-2016,2,6,Patience,Clayton,Niagara Falls,NY,14304,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Marcelene,Boyer,(516) 379-4445,1,5,Electra,1079.98
3,2,20,1,599.99,0.05,523,4,02-01-2016,05-01-2016,03-01-2016,2,7,Joshua,Robertson,Patchogue,NY,11772,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Venita,Daniel,(516) 379-4446,1,5,Electra,569.99
8,2,20,2,599.99,0.07,1204,4,04-01-2016,05-01-2016,05-01-2016,2,7,Leslie,Higgins,Saratoga Springs,NY,12866,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Venita,Daniel,(516) 379-4446,1,5,Electra,1115.98
349,1,20,2,599.99,0.2,30,3,03-08-2016,03-08-2016,,1,3,Jamaal,Albert,Torrance,CA,90505,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Genna,Serrano,(831) 555-5556,1,2,Electra,959.98
350,2,20,1,599.99,0.07,31,3,03-08-2016,03-08-2016,,1,3,Williemae,Holloway,Oakland,CA,94603,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Genna,Serrano,(831) 555-5556,1,2,Electra,557.99
17,4,20,2,599.99,0.2,1175,4,12-01-2016,14-01-2016,14-01-2016,1,3,Sindy,Anderson,Pomona,CA,91768,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Genna,Serrano,(831) 555-5556,1,2,Electra,959.98
132,2,20,1,599.99,0.05,46,4,20-03-2016,22-03-2016,23-03-2016,1,3,Monika,Berg,Encino,CA,91316,Electra Townie Original 7D EQ - Women's - 2016,1,2016,Genna,Serrano,(831) 555-5556,1,2,Electra,569.99
